epoch,accuracy,auc,f1,loss,val_accuracy,val_auc,val_f1,val_loss
0,0.4151405692100525,0.789998471736908,0.16139180958271027,1.5280309915542603,0.33316734433174133,0.7132384181022644,0.03556377813220024,1.7805429697036743
1,0.6342206001281738,0.9123021364212036,0.4297346770763397,1.0728874206542969,0.368789941072464,0.7340745329856873,0.11055146157741547,1.7576574087142944
2,0.7203815579414368,0.9455381035804749,0.5931669473648071,0.8972828984260559,0.36224478483200073,0.7356744408607483,0.1706690937280655,1.7803730964660645
3,0.7703946232795715,0.9638112187385559,0.6933301091194153,0.7831958532333374,0.4386821985244751,0.7770909070968628,0.27937501668930054,1.6624006032943726
4,0.81258624792099,0.9749253988265991,0.7570184469223022,0.714668333530426,0.4241794943809509,0.772118091583252,0.28547802567481995,1.694591760635376
5,0.8462644815444946,0.9823899865150452,0.8059477210044861,0.6632186770439148,0.461020290851593,0.793068528175354,0.33526167273521423,1.636062741279602
6,0.8749327659606934,0.9877590537071228,0.8445298671722412,0.6248041987419128,0.45853376388549805,0.7946904301643372,0.3596676290035248,1.6514008045196533
7,0.8950334191322327,0.9910867810249329,0.8718903660774231,0.5975337028503418,0.46372291445732117,0.7961390018463135,0.3656969368457794,1.6481026411056519
8,0.9134539365768433,0.9936546087265015,0.8943182229995728,0.5764652490615845,0.4681040942668915,0.7985659241676331,0.37782618403434753,1.6486204862594604
9,0.9276432991027832,0.9954032897949219,0.910658597946167,0.5587786436080933,0.4707847833633423,0.7998753190040588,0.3855452835559845,1.6545180082321167
10,0.9391535520553589,0.9966422319412231,0.9223151803016663,0.5464685559272766,0.474464476108551,0.801141619682312,0.39446398615837097,1.6541790962219238
11,0.9483350515365601,0.9974753260612488,0.9349063038825989,0.5351607203483582,0.4734310507774353,0.798974335193634,0.39197230339050293,1.6603312492370605
12,0.9561304450035095,0.9980942606925964,0.9434147477149963,0.5262064337730408,0.47063446044921875,0.7959578037261963,0.39260533452033997,1.6743221282958984
13,0.9616968035697937,0.9985419511795044,0.950186550617218,0.5196041464805603,0.4734247922897339,0.7984766364097595,0.3966631591320038,1.665428638458252
14,0.9671438932418823,0.9988715648651123,0.9558522701263428,0.5131051540374756,0.48596706986427307,0.8046668171882629,0.4146135747432709,1.6548638343811035
15,0.9720107316970825,0.999143660068512,0.9611321091651917,0.5079302787780762,0.4773581326007843,0.7982866764068604,0.4032379686832428,1.6727238893508911
16,0.9751344919204712,0.9993088841438293,0.9650294780731201,0.5036345720291138,0.4767819046974182,0.7985324263572693,0.4042891561985016,1.6761761903762817
17,0.9782734513282776,0.9994552731513977,0.9684853553771973,0.499877393245697,0.476810097694397,0.7985113859176636,0.4035521149635315,1.6689159870147705
